id,brand,closure,code,description,heel_height,heel_type,inner_material,name,outer_material,price,shoe_width,sole,created_at,review_count,review_score,sold_count,stock_count,updated_at
260,Visit the ECCO Store,Lace-Up,B074CV3V1Q,Date First Available: \n29 Jan. 2018\n\n\nManufacturer: \nEcco\n\n\nASIN: \nB077VQ4LZQ\n\n\nItem model number: \n538284\n\n\nDepartment: \nMen,2.5 centimetres,Flat,Leather,"Ecco Aurora, Men’s Derbys",Leather,108.79,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
261,CELANDA,"Quick release Perfect for home or garden, gardening, outdoor, indoor, casual, walking, leisure shopping.",B0983248YG,Product Dimensions: \n25.5 x 10 x 5 cm; 260 Grams\n\n\nDate First Available: \n3 July 2021\n\n\nManufacturer: \nCELANDA\n\n\nASIN: \nB0983248YG\n\n\nDepartment: \nUnisex,2 centimetres,"Flat Ideal birthday gift or party gift, they are suitable for all types of clothes and easy to combine","Soft and removable insole, comfortable, easy to clean. The design of the ultra bright and ergonomically soft gives feet more comfortable feelings.","CELANDA Women's Men's Clogs Slippers Summer Non-Slip Mules Lightweight Breathable Walking Shoes Comfortable Garden Shoes for Unisex Soft Leisure EU 35-48, black, 8 UK","Selected high quality mesh, soft and breathable, ensures your feet stay comfortable.",22.38,Normal,"MD outsole it has very good flexibility, super stretchy material gives excellent flexibility and comfortable and curves the feet without cushioning performance for better protection.",2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
262,Blundstone,Pull-On,B00GIBVSWE,Date First Available: \n1 Jan. 2010\n\n\nManufacturer: \nBlundstone\n\n\nASIN: \nB07SSLG94J\n\n\nManufacturer reference: \n500\n\n\nDepartment: \nUnisex,1 inches,Block,Leather,Blundstone Unisex's Original 500 Series Chelsea Boot,Leather,106.89,"Medium adult_uk, Medium mens_us",Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
263,SHUTUP.DANCE,Buckle,B08XZ4HBJH,Item Weight: \n907.18 Grams\n\n\nDate First Available: \n4 Mar. 2021\n\n\nASIN: \nB08XZ4HBJH\n\n\nCountry of origin: \nChina\n\n\nDepartment: \nWomen,3 inches,Kitten,Fur,Womens Plating Heel Dance Shoes Practice Shoes Latin Dance Closed Toe Pink 1.5 UK,Satin,29.5,Normal,Suede,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
264,Buffalo London,Lace-Up,B07W4QW53L,Is Discontinued By Manufacturer: \nNo\n\n\nDate First Available: \n10 Aug. 2019\n\n\nManufacturer: \nBuffalo london\n\n\nASIN: \nB07W4QW53L\n\n\nItem model number: \nBN1533126\n\n\nDepartment: \nWomen,5 centimetres,Platform,Textile,Buffalo 1339-14 2.0 Shoes Black 6 UK,Leather,171.79,Schmal,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
265,ZHIZIHUA,"Slip-On, These Slip on Trainer For Women Suitable for any Daily Used, Such as Long-time Standing work, walking, casual, floor shoes, Nursing, Travel, Driving, Dance, Dance Shoes, Athletic, Workout.",B0998XTYMB,Date First Available: \n13 July 2021\n\n\nManufacturer: \nZHIZIHUA\n\n\nASIN: \nB0998XTYMB\n\n\nItem model number: \nstylish walking shoes women\n\n\nDepartment: \nWomen,2.5 centimetres,slip trainers slip trainers women womens tennis trainers wedge shoe breathable shoe wide fitting shoes women gym trainer ladies white trainers walking trainer,"Synthetic, The Size Mark On The shoes Is Chinese Size Number. We suggest you select the appropriate size according to your foot length.",Walking Shoes for Women Ladies Trainers Comfortable Mesh Sneakers Lightweight Slip On Casual Trainers Tenni Trainer,"Mesh,Made of great material, it has good sweat-absorbing ability, fits the foot, and is comfortable and dry.",13.16,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
266,Visit the Superga Store,Lace-Up,B00OT7SYT4,Package Dimensions: \n29.6 x 15.2 x 11 cm; 1.52 Kilograms\n\n\nDate First Available: \n1 Mar. 2015\n\n\nManufacturer: \nSuperga\n\n\nASIN: \nB00U4NSOZ6\n\n\nItem model number: \nS0080Y0\n\n\nDepartment: \nGirl,4 centimetres,Wedge,Manmade,"Superga 2790-velvetw, Women’s Closed-Toe",Fabric,25.72,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
267,Visit the Reebok Store,Lace-Up,B06XWGFV6J,Package Dimensions: \n32.5 x 15.5 x 12.5 cm; 400 Grams\n\n\nDate First Available: \n7 Jun. 2019\n\n\nManufacturer: \nReebok\n\n\nASIN: \nB07SXR3HP3\n\n\nItem model number: \nDV8812\n\n\nDepartment: \nMen,1 centimetres,No Heel,Synthetic,Reebok Men's Club C 85 Gymnastics Shoe,Synthetic,34.95,Medium,Polyurethane,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
268,ASICS,Lace-Up,B096NTRNTR,Package Dimensions: \n33.6 x 22 x 12.4 cm; 255 Grams\n\n\nDate First Available: \n18 Jun. 2021\n\n\nManufacturer: \nASICS\n\n\nASIN: \nB096NTRNTR\n\n\nItem model number: \n1011B192 020\n\n\nCountry of origin: \nChina\n\n\nDepartment: \nMen,32 mm,Flat,Synthetic,"ASICS Men's NOVABLAST 2 Running Shoe, Metropolis/Clear Blue, 10 UK",Synthetic,130,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
269,Dockers by Gerli,Hook & Loop,B08M62DCVS,Product Dimensions: \n30 x 20 x 10 cm; 430 Grams\n\n\nDate First Available: \n29 Oct. 2020\n\n\nManufacturer: \nDockers by Gerli\n\n\nASIN: \nB08M64P44S\n\n\nItem model number: \n48JA601-637851\n\n\nDepartment: \nUnisex Kids,2 centimetres,Flat,Manmade,Dockers by Gerli Unisex's Outdoor Sandal Loafer,Synthetic,21.88,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
270,Visit the ara Store,Schnellschnürung,B082NY63RF,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n33.2 x 20.2 x 10 cm; 730 Grams\n\n\nDate First Available: \n20 Feb. 2020\n\n\nManufacturer: \nara\n\n\nASIN: \nB084ZJDYX2\n\n\nItem model number: \n1244050\n\n\nDepartment: \nWomen,1 centimetres,Low,Textile,ARA Women's Lissabon 1244050 Sneaker,Synthetic,19.85,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
271,Visit the Bella Bays Store,Lace-Up,B08RYZRBN6,Package Dimensions: \n32.79 x 22.1 x 10.1 cm; 370 Grams\n\n\nDate First Available: \n19 April 2021\n\n\nASIN: \nB092VRBTKK\n\n\nDepartment: \nWomen,1.5 centimetres,Flat,Textile,Women Mesh Breathable Athletic Running Sneakers Lace-up Fitness Sports Shoes Trainer UK3-9,Synthetic,32.99,Medium,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
272,Visit the Reebok Store,Lace-Up,B077TXWNLJ,Date First Available: \n27 Mar. 2018\n\n\nManufacturer: \nReebok\n\n\nASIN: \nB07BR7JHVR\n\n\nItem model number: \nCM9011\n\n\nDepartment: \nWomen,2 centimetres,Flat,Manmade,Reebok Women's Triplehall 7.0 Running Shoes,Fabric,48.84,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
273,SHUTUP.DANCE,Buckle,B08TR5NRHJ,Item Weight: \n907.18 Grams\n\n\nDate First Available: \n22 Jan. 2021\n\n\nASIN: \nB08TQYYFJH\n\n\nDepartment: \nWomen,3 inches,Kitten,Fur,Womens Latin Dance Shoes Salsa Tango Cha-Cha Ballrom Custom Heel and Sole Peep Toe Practice Fashion Dancing Shoes,Polyurethane,23,Normal,Suede,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
274,Rieker,Pull On,B01MS9K3SS,Date First Available: \n28 July 2017\n\n\nManufacturer: \nRieker\n\n\nASIN: \nB01NAVD4EL\n\n\nItem model number: \nL5263\n\n\nDepartment: \nWomen,3 centimetres,Flat,Unlined,Rieker Women's L5263 Sneaker,Synthetic,55.72,Normal,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
275,Think!,Lace-Up,B00J00JAYS,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n35.4 x 22.4 x 13.2 cm; 300 Grams\n\n\nDate First Available: \n16 May 2014\n\n\nManufacturer: \nThink\n\n\nASIN: \nB00J00JAOS\n\n\nItem model number: \n888690\n\n\nDepartment: \nMen,1.5 centimetres,Block,Leather,Think! Men's Guru_888690 Derbys,Leather,124.46,Medium,Leather,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
276,JYC Store,Pull On,B09CG3WF82,Date First Available: \n12 Aug. 2021\n\n\nManufacturer: \nZCJ1157\n\n\nASIN: \nB09CG5B9RC\n\n\nItem model number: \nsummer sandals women\n\n\nDepartment: \nWomen,3 centimetres,Low,"Allows you to enjoy sports without sweating your feet., work socks present, ladies trainers",Women Slip On Walking Shoes Fashion Breathable Comfortable Sneakers Lace Hollow Out Casual Trainers,"Mesh, womens trainers, trainers, womens running shoes, walking shoes",6.08,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
277,ASICS,Lace-Up,B096NTDLGJ,Package Dimensions: \n33.8 x 22 x 12.8 cm; 330 Grams\n\n\nDate First Available: \n18 Jun. 2021\n\n\nManufacturer: \nASICS\n\n\nASIN: \nB096NTDLGJ\n\n\nItem model number: \n1011B030 400\n\n\nDepartment: \nMen,20 mm,Flat,Synthetic,"ASICS Men's Gel-Trabuco 9 Running Shoe, Monaco Blue/Clear Blue, 10 UK",Synthetic,104.64,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
278,Clarks ORIGINALS,Lace-Up,B07B8XB6QZ,Product Dimensions: \n1 x 1 x 1 cm; 1.28 Kilograms\n\n\nDate First Available: \n9 Aug. 2018\n\n\nManufacturer: \nClarks Originals\n\n\nASIN: \nB07B93G51C\n\n\nItem model number: \n261382277\n\n\nDepartment: \nMen,2 centimetres,Flat,Unlined,"Clarks Originals Men's Desert Boots, 9 UK",Leather,74.69,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
279,Visit the adidas Store,Lace-Up,B01MQYW860,Package Dimensions: \n28.6 x 19 x 10.8 cm; 580 Grams\n\n\nDate First Available: \n11 Jan. 2017\n\n\nManufacturer: \nadidas\n\n\nASIN: \nB01N9KH3N4\n\n\nItem model number: \nBB5122\n\n\nDepartment: \nGirl,1.5 inches,Flat,Manmade,adidas Women's Tubular Defiant W Gymnastics Shoes,Synthetic,39.99,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
280,Visit the Start-rite Store,Hook & Loop,B07TJYJCL7,Package Dimensions: \n28.6 x 16.4 x 11.2 cm; 720 Grams\n\n\nDate First Available: \n25 Jun. 2019\n\n\nManufacturer: \nStartrite\n\n\nASIN: \nB07TGK6CJD\n\n\nDepartment: \nGirl,1.5 centimetres,Flat,Leather,Start-rite Hopscotch Girls Black Patent Leather School Shoe,Patent Leather,39.99,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
281,Visit the Skechers Store,Lace-Up,B07CTXNLT2,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n32.51 x 21.84 x 12.19 cm; 170.1 Grams\n\n\nDate First Available: \n15 Jan. 2019\n\n\nManufacturer: \nSKECHERS\n\n\nASIN: \nB07CTXLVKF\n\n\nItem model number: \n32504\n\n\nDepartment: \nWomen,3 centimetres,Platform,Synthetic,Skechers BOBS Squad - Tough Talk,Synthetic,36.87,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
282,Visit the Crocs Store,Lace Up,B076JLDDFQ,Package Dimensions: \n30.7 x 26.2 x 7.4 cm; 164.43 Grams\n\n\nDate First Available: \n10 Dec. 2019\n\n\nManufacturer: \nCrocs\n\n\nASIN: \nB07WZLXJ4Z\n\n\nItem model number: \n205393\n\n\nDepartment: \nWomen,2.53 centimetres,Flat,Synthetic,Crocs Unisex's Men's and Women's Bayaband Flip Flop | Casual Beach Sandal | Shower Shoe,Synthetic,9.5,Medium,Man Made,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
283,Visit the Hitmars Store,Lace-Up,B084Q1TH3N,Package Dimensions: \n28.19 x 15.24 x 8.13 cm; 860 Grams\n\n\nDate First Available: \n13 Aug. 2019\n\n\nManufacturer: \nHitmars\n\n\nASIN: \nB07WFFPB5F\n\n\nDepartment: \nUnisex,3 centimetres,Flat,Mesh,Safety Shoes Mens Work Trainers Ladies Running Construction Boots Women Steel Toe Cap Lightweight Mesh Footwear Black Blue Green Grey Pink UK3-UK13(EU35-EU48),Synthetic,28.04,Medium,Other materials,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
284,Visit the Aigle Store,Pull-On,B07L3M966W,Package Dimensions: \n55.2 x 34.8 x 12 cm; 2.38 Kilograms\n\n\nDate First Available: \n6 Dec. 2018\n\n\nManufacturer: \nAigle\n\n\nASIN: \nB07L3MG2XT\n\n\nItem model number: \n37036\n\n\nDepartment: \nUnisex,1.2 centimetres,Flat,Manmade,Aigle Unisex's Brea Botte Iso Wellington Boots,Rubber,142.47,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
285,SHUTUP.DANCE,Buckle,B097MR47BP,Product Dimensions: \n28.5 x 12 x 16 cm; 907.18 Grams\n\n\nDate First Available: \n3 Aug. 2020\n\n\nASIN: \nB08L671WJ9\n\n\nDepartment: \nWomen,3 inches,mid-heel,Down,Womens Rhinestones Dance Shoes Latin Tango Ballroom Practice Salsa Cha-cha Custom Heel Soft Glitter Party Pumps,Down,26.5,Normal,Suede,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
286,Visit the Columbia Store,Buckle,B081DKXFF2,Product Dimensions: \n30 x 20 x 5 cm; 1.18 Kilograms\n\n\nDate First Available: \n29 Nov. 2019\n\n\nManufacturer: \nColumbia\n\n\nASIN: \nB081DL655Q\n\n\nItem model number: \n1903361\n\n\nDepartment: \nMen,1,Flat,Synthetic,Columbia Men's Fairbanks Rover Winter Boots,Synthetic,96.77,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
287,Think!,Lace-Up,B08FNKM1MP,Package Dimensions: \n1 x 1 x 1 cm; 1 Kilograms\n\n\nDate First Available: \n11 Aug. 2020\n\n\nManufacturer: \nThink!\n\n\nASIN: \nB08FNLQ1H9\n\n\nItem model number: \n3-000051\n\n\nDepartment: \nWomen,1.8 centimetres,Flat,Leather Lining,Think! Women's Gring_3-000051 Nachhaltige Wechselfußbett Sneaker,Nubuck Leather,67.62,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
288,AIYIMEI,"buckle -- ?Design?Very beautiful princess design. There are sequins and Elsa brooch on the shoes. And they are with Velcro fastening, easy to put on and take off.",B08F23XJ7C,Package Dimensions: \n25.91 x 16 x 9.65 cm; 520 Grams\n\n\nDate First Available: \n24 Oct. 2020\n\n\nASIN: \nB08F23XJ7C\n\n\nDepartment: \nGirl,2.5 centimetres,"Flat -- 【Service】If you have any questions, you can contact us at any time.","Synthetic – 【Soft and comfortable】Inside the shoes are made with leather and sole with rubber. Skin-friendly and no slipping, very comfortable and free to wear, running, dancing and playing.",AIYIMEI Kids Girls Princess Shoes Bling Low Heel Dress Bridesmaid Sandals Elegant Comfy Latin Tango Dance Shoes Single Shoes,"Blue, Pink and Silver. (Due to different monitors, there will be some colour deviation).",21.57,Schmal,"Rubber -- 【Occasions】Great for carnival fancy dress party, fancy dress, Christmas, princess party, holiday, wedding, everyday life, themed birthday parties, photo, role play, film party, dance, performance, ice queen and Elsa party etc.",2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
289,Visit the PUMA Store,Lace-Up,B082V8WFVN,Date First Available: \n25 Feb. 2021\n\n\nManufacturer: \nPuma\n\n\nASIN: \nB08X7G221V\n\n\nManufacturer reference: \n10606001\n\n\nDepartment: \nMen,1 centimetres,Flat,Manmade,PUMA Rapido II FG Mens Football Boots Firm Ground,Synthetic,29.95,Normal,Other materials,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
290,Visit the HROYL Store,Buckle,B07XF2YW41,Product Dimensions: \n22 x 7.4 x 13.5 cm; 322.05 Grams\n\n\nDate First Available: \n27 Feb. 2020\n\n\nASIN: \nB07XD29B4W\n\n\nItem model number: \nKU-806/803\n\n\nDepartment: \nWomen,5 centimetres,Louis Heel,Manmade,HROYL Women's Standard Latin/Modern/Samba/Chacha Dance Shoes Sequins Ballroom 806,Satin,24.99,Normal,Leather,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
291,Angela Brown,Hook & Loop,B08LZLP862,Date First Available: \n27 Oct. 2020\n\n\nManufacturer: \nAngela Brown\n\n\nASIN: \nB08LZL2MR6\n\n\nManufacturer reference: \nIZZYWHITE\n\n\nDepartment: \nGirl,1 centimetres,Flat,Leather,Angela Brown Izzy Toddler Girls Leather Sandals Strappy Gladiator Shoes,Leather,16.95,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
292,Fila,Lace-Up,B091V1F4DD,Date First Available: \n25 May 2021\n\n\nManufacturer: \nFila\n\n\nASIN: \nB095WZPPSY\n\n\nItem model number: \n5RM01534-028\n\n\nDepartment: \nWomen,5.5 centimetres,Flat,Textile,Fila Electrove 2 Womens Fashion Trainers,Synthetic,56.69,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
293,Axcone,Lace-Up,B08QYTHHVB,Package Dimensions: \n26.4 x 25 x 11.3 cm; 590 Grams\n\n\nDate First Available: \n21 Feb. 2021\n\n\nASIN: \nB08QYTHHVB\n\n\nManufacturer reference: \nU8998\n\n\nDepartment: \nUnisex,2.5 centimetres,Flat,Textile,"Axcone Trainers, men's and women's sports shoes, air cushion trainers, shoes, running shoes, air cushion, fitness, gym, lightweight",Synthetic,39.61,Schmal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
294,Ganter,Lace-Up,B00OLFZZGY,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n36.4 x 23 x 12.4 cm; 1.16 Kilograms\n\n\nDate First Available: \n24 Dec. 2015\n\n\nManufacturer: \nGanter\n\n\nASIN: \nB00OLFZQ22\n\n\nItem model number: \n257251-0100\n\n\nDepartment: \nMen,1.6 centimetres,Flat,Leather,Ganter Men's Greg-g Brogues,Leather,103.53,Normal,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
295,Saucony,Laces,B07417CC9M,Product Dimensions: \n30.48 x 12.7 x 12.7 cm; 311.84 Grams\n\n\nDate First Available: \n22 May 2009\n\n\nManufacturer: \nSaucony\n\n\nASIN: \nB07KK4KZ7M\n\n\nItem model number: \nS70368-80\n\n\nDepartment: \nMen,1 centimetres,No Heel,Handmade,Saucony Men's Jazz Original Vitnage Sneaker,Fabric,45.26,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
296,Visit the Crocs Store,Pull On,B07L99RKZM,Product Dimensions: \n30 x 20 x 10 cm; 198.45 Grams\n\n\nDate First Available: \n1 Aug. 2019\n\n\nManufacturer: \nCrocs\n\n\nASIN: \nB07L99CFQ1\n\n\nItem model number: \n205969-060\n\n\nDepartment: \nUnisex,0.65 inches,No Heel,Synthetic,Crocs Unisex's Baya Lined Clog,Rubber,31.2,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
297,Diamant,Button,B00BNWQ6G6,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n30 x 17.5 x 8.7 cm; 800 Grams\n\n\nDate First Available: \n9 Jun. 2012\n\n\nManufacturer: \nDiamant\n\n\nASIN: \nB00BNWQ7FG\n\n\nItem model number: \n010-064-101\n\n\nDepartment: \nGirl,5 centimetres,Latino,Manmade,Diamant Women's 010-064-101 Damen Tanzschuhe-Standard & Latein Ballroom Dance Shoes,Leather,62.99,Medium,Suede,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
298,Visit the Skechers Store,Lace-Up,B07P8WM2YG,Date First Available: \n29 Sept. 2021\n\n\nManufacturer: \nSkechers\n\n\nASIN: \nB09B7VF1ZD\n\n\nManufacturer reference: \n74191BBK\n\n\nDepartment: \nWomen,3 centimetres,Wedge,Textile,Skechers Women's Solei St-Groovilicious Trainers,Synthetic,39.97,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
299,Visit the Skechers Store,Pull On,B07N13FBXW,Package Dimensions: \n30.48 x 16.51 x 11.43 cm; 522 Grams\n\n\nDate First Available: \n18 Feb. 2019\n\n\nManufacturer: \nSkechers\n\n\nASIN: \nB07N14HFTQ\n\n\nItem model number: \n15923\n\n\nDepartment: \nGirl,3 centimetres,Flat,Textile,Skechers Women's Go Walk 5-Polished Trainers,Leather,56.14,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
300,Visit the Geox Store,Hook & Loop,B00YUXGL92,Batteries: \n1 Product Specific batteries required.\n\n\nProduct Dimensions: \n24.5 x 18 x 9.5 cm; 130 Grams\n\n\nDate First Available: \n16 Jun. 2015\n\n\nManufacturer: \nGeox\n\n\nASIN: \nB00YUXGLGA\n\n\nItem model number: \nJ54D1A00043\n\n\nDepartment: \nMen,2.5 centimetres,Flat,Canvas,"Geox J Federico A, Men's Low-Top Sneakers",Smooth Leather,28.15,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
301,Visit the HROYL Store,Buckle,B08B3X4Y2P,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n21.8 x 7.8 x 10.5 cm; 350 Grams\n\n\nDate First Available: \n10 Feb. 2020\n\n\nASIN: \nB07MFNQCH2\n\n\nItem model number: \nES213/2324\n\n\nDepartment: \nWomen,4 centimetres,Louis Heel,Manmade,"HROYL Women/Girls' Professional Dance Shoes Salsa Ballroom Latin American Dance Shoes,213",Satin,24.99,Normal,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
302,HTGEWGIR,"【Warm Reminder】The Size Mark On The shoes Is Chinese Size Number. Different Shoe Styles, please Select The Size According To Your Foot Type.",B09BDWY32R,Date First Available: \n29 July 2021\n\n\nManufacturer: \nHTGEWGIR\n\n\nASIN: \nB09BDWWXVK\n\n\nItem model number: \nwork out shoes\n\n\nDepartment: \nWomen,1.5 centimetres,"Platform Heel，The durable fabric makes them a pair of comfortable and stylish slip on womens trainers, perfect design for daily walking and jogging.——（black shoe lace trainer black sneaker woman black walking shoe black walking shoe woman breathable shoe ","【Super Light and Breathable】 Super light, breathable and flexible, just like socks. The breathable and smooth fabric provides great freedom and comfort. Let you enjoy vacation and travel.",Ladies Canvas Shoes Womens Girls Shoes Casual Lace Up Retro Low Top Flat Gym Sports Trainers Lightweight Sneakers Women's Fashion Casual Round Toe Cloth Leopard Lace Up Flat Sport Shoes,"Cloth,Made of great material, it has good sweat-absorbing ability, fits the foot, and is comfortable and dry.",13.78,Medium,"【Rubber】Non slip rubber outsole, with good grip, arch support and traction, makes it more comfortable for walking,work,travel,trip and standing for a long time.",2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
303,Visit the PUMA Store,Lace-Up,B00ANDMQGA,Package Dimensions: \n32.2 x 20.8 x 11 cm; 879.97 Grams\n\n\nDate First Available: \n28 Jan. 2013\n\n\nManufacturer: \nPuma AG\n\n\nASIN: \nB00ANDMQF6\n\n\nItem model number: \n186158\n\n\nDepartment: \nWomen,1 centimetres,Flat,Unlined,"PUMA Pg Royaltee WNS, Women's Golf Shoes",Synthetic,54.95,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
304,Sebago,Lace-Up,B07FMGXQK8,Package Dimensions: \n34.79 x 25.8 x 12.4 cm; 1.52 Kilograms\n\n\nDate First Available: \n25 Jan. 2019\n\n\nManufacturer: \nSebago\n\n\nASIN: \nB07FMNY7RS\n\n\nItem model number: \n7002IM0\n\n\nDepartment: \nMen,2 centimetres,Block,Leather,Sebago Men's Ranger Mid Waxy Classic Boots & Ankle Boots,Different Leather,62.68,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
305,bugatti,Lace-Up,B08FJDDLXD,Package Dimensions: \n35 x 21 x 13.2 cm; 960 Grams\n\n\nDate First Available: \n10 Aug. 2020\n\n\nManufacturer: \nbugatti\n\n\nASIN: \nB08FJDDLXD\n\n\nItem model number: \n321A3E025450\n\n\nDepartment: \nMen,1.8 centimetres,Flat,Manmade,bugatti Men's 321A3E025450 Sneaker,Synthetic,25.73,Medium,synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
306,Visit the HROYL Store,Buckle,B07MC2N8TV,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n21.8 x 7.8 x 10.5 cm; 350 Grams\n\n\nDate First Available: \n10 Feb. 2020\n\n\nASIN: \nB07MFNQCH2\n\n\nItem model number: \nES213/2324\n\n\nDepartment: \nWomen,4 centimetres,Louis Heel,Manmade,"HROYL Women/Girls' Professional Dance Shoes Salsa Ballroom Latin American Dance Shoes,213",Satin,24.99,Normal,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
307,ASICS,Lace-Up,B08NPPVGQ5,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n22.9 x 10.8 x 8.3 cm; 650 Grams\n\n\nDate First Available: \n18 Jun. 2021\n\n\nManufacturer: \nASICS\n\n\nASIN: \nB08NPPVGQ5\n\n\nItem model number: \n1011B004 007\n\n\nDepartment: \nMen,25 mm,Flat,Synthetic,"ASICS Men's Gel-Nimbus 23 Running Shoe, Black/Electric RED, 10 UK",Synthetic,154.9,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
308,Visit the Skechers Store,Lace-Up,B00VR544LS,Package Dimensions: \n30.61 x 23.01 x 11.99 cm; 425.24 Grams\n\n\nDate First Available: \n4 Oct. 2018\n\n\nManufacturer: \nSkechers\n\n\nASIN: \nB07HCJ9P28\n\n\nItem model number: \n51286\n\n\nDepartment: \nMen,3 centimetres,Flat,Textile,Skechers Men's Stamina Cutback Trainers,Synthetic,31.98,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
